date,hour,temp,humidity,wind_speed,weather,dayofweek
20170216,8,12,77,10.8,1,4
20170216,9,15,63,14.4,1,4
20170216,10,16,55,14.4,1,4
20170216,11,16,59,14.4,2,4
20170216,12,16,59,14.4,1,4
20170216,13,19,52,18.0,1,4
20170216,14,19,52,18.0,1,4
20170216,15,19,49,18.0,1,4
20170216,16,18,52,14.4,1,4
20170216,17,17,55,14.4,1,4
20170216,18,17,59,14.4,1,4
20170216,19,16,72,14.4,1,4
20170216,20,15,77,14.4,1,4
20170216,21,14,82,10.8,1,4
20170216,22,13,88,7.2,1,4
20170216,23,13,88,7.2,1,4
20170217,8,9,87,28.8,1,5
20170217,9,9,87,36.0,1,5
20170217,10,9,87,32.4,1,5
20170217,11,8,87,28.8,1,5
20170217,12,8,81,28.8,1,5
20170217,13,8,76,25.2,1,5
20170217,14,8,71,25.2,1,5
20170217,15,8,66,21.6,1,5
20170217,16,8,62,25.2,1,5
20170217,17,7,66,21.6,1,5
20170217,18,7,61,21.6,1,5
20170217,19,7,61,21.6,1,5
20170217,20,6,66,21.6,1,5
20170217,21,5,76,18.0,2,5
20170217,22,5,81,10.8,2,5
20170217,23,5,76,14.4,1,5
20170218,8,5,76,10.8,1,6
20170218,9,7,66,3.6,1,6
20170218,10,8,62,7.2,1,6
20170218,11,10,54,7.2,1,6
20170218,12,11,50,7.2,1,6
20170218,13,12,41,7.2,1,6
20170218,14,13,38,3.6,1,6
20170218,15,13,38,7.2,1,6
20170218,16,14,36,3.6,1,6
20170218,17,13,38,7.2,1,6
20170218,18,10,62,18.0,1,6
20170218,19,8,71,18.0,1,6
20170218,20,7,76,14.4,1,6
